Eligibility ,Sex,Year ,Do you have an UNRWA Registration card? ,Do you live in a camp?, First person in your family to attend university?,UPC Member,What is the type of your school?,Are you on a scholarship at your school?,Current grade 12 stream,Average Grade 10 and 11,English Grade 10,English Grade 11,Have you taken the SAT?,SAT attempts ,"Volunteering,Projects, and More",Travel or here?,Universities in Lebanon,Do you have a sibling who is/was on a ULYP scholarship?,Marital Status of your parents,Is your father employed?,Is your mother employed?,Do any of your siblings work and contribute part of their income to the house?,Is there anyone else helping your family financially?,"Do you, as an applicant, have any Assets/Properties; Land & Property, Saving Accounts, Investments, Others","If you answered yes to the above question, what is the value/amount in LBP?",Do you have a private health insurance?, life scholarship Government,Tomooh,ID,Eligible Age,ConsideredNationality,IncomeVsExpenses,Both Parents work at UNRWA,Majors Check,AcademicEligibility,SAT Category,"Volunteering,Projects, and More perprocessed",Sentiment,Owned Assests Category,volunteering_count,goal_count,confidence_count,believe_count,community_count,giving back_count,academic excellence_count,volunteer_count,leadership_count
No,Female,2023-2024,No,No,Yes,No,Public,No,Sociology and Economy - SE,45,0.75,0.75,No,Not provided,"I have helped many people in distributing food rations in Ramadan and zakat as well.  And in the harsh winter, when distributing diesel fuel to the poor with the Abu Haikal Association. Also, we have done many projects and science projects in the Bekaa Youth Center.  And we did workshops at maps organization.",0,"American University of Beirut (AUB), Lebanese American University (LAU)",No,Married,Yes,No,No,No,No,0,No,Done,Done,1,Eligible,Not Considered,Income Higher,0,TRUE,0,Low,helped many people distributing food ration ramadan zakat well harsh winter distributing diesel fuel poor abu haikal association also done many project science project bekaa youth center workshop map organization,0.281818182,Nothing,0,0,1,0,0,0,0,0,0
No,Male,2022-2023,Yes,No,Yes,No,Public,No,Life Sciences - LS,0,0.55,0.7,No,Not provided,"While three years ago I served as a volunteer for an organization to help  the poor during ramadan and participating in charity race as well as clean up a local park every month in Beirut city and participating in charity race as well as clean up a local park every month in Beirut city .last but not the least I donated my blood to the injured  from Beirut port explosion,So,I want to contribute to the disadvantaged population in my country.",1,American University of Beirut (AUB),No,Married,Yes,No,No,No,No,0,No,No,No,2,Eligible,Considered,Income Higher,0,TRUE,1,Low,three year ago served volunteer organization help poor ramadan participating charity race well clean local park every month beirut city participating charity race well clean local park every month beirut city last least donated blood injured beirut port explosionsoi want contribute disadvantaged population country,0.201960784,Nothing,0,0,0,0,0,0,0,1,0
No,Female,2022-2023,No,No,No,Yes,Public,No,General Sciences - GS,61.6,0.425,0.4575,No,Not provided,Unfortunately i didnt participate in any of the above activities,0,Lebanese American University (LAU),No,Married,No,Yes,No,No,No,0,No,No,No,3,Eligible,Considered,Income Higher,0,TRUE,0,Low,unfortunately didnt participate activity,-0.0375,Nothing,0,0,0,0,0,0,0,0,0
No,Female,2023-2024,Yes,No,No,No,Public,No,Life Sciences - LS,50,0.4625,0.5125,Yes,2 times,"The volunteers, events, projects, and etc. is what makes you special outside your school work. This year, I volunteered in preparing food for who in need and can not afford to buy any food. Some children sleeps every day with a cracking stomach while other sleeps with fulfill stomach in a warm bed. This difference is what make us responsible for every hungry child, life can be hard on certain people and if we did not give them a hand we can not expect any help from others when life goes hard on us. That is why we are all responsible for these desperate starving people and even if the law did not force us to help, but the humanity in each one of us should do that. On the other hand, I have also participated in a fashion design workshop. I have always been interest in fashion and its updates. However that passion came from my mother, we always used to talk about the new fashion trends and rate it according to our taste of fashion. This conversation from when I was young, planted an interest in me for this domain, that is why I tried to mix my love for fashion and drawing together, so I started to design a certain dress in my mind and translate it into the paper. After a couple of years since I started working on my drawing, I participated in a fashion design workshop where we worked on not just designing but also we sew our design by ourselves. This led to a sense of accomplishment in me when I saw my skirt that I have worked hard to bring into existence. This workshop have delighted me in every step of it and especially when I saw the progress I have done on my first precious skirt.",1,"American University of Beirut (AUB), Rafik Hariri University (RHU)",No,Married,Yes,No,No,No,No,0,No,Done,Done,4,Eligible,Considered,Income Higher,0,TRUE,0,Avg,volunteer event project etc make special outside school work year volunteered preparing food need afford buy food child sleep every day cracking stomach sleep fulfill stomach warm bed difference make u responsible every hungry child life hard certain people give hand expect help others life go hard u responsible desperate starving people even law force u help humanity one u hand also participated fashion design workshop always interest fashion update however passion came mother always used talk new fashion trend rate according taste fashion conversation young planted interest domain tried mix love fashion drawing together started design certain dress mind translate paper couple year since started working drawing participated fashion design workshop worked designing also sew design led sense accomplishment saw skirt worked hard bring existence workshop delighted every step especially saw progress done first precious skirt,0.162914899,Nothing,0,0,0,1,3,0,0,2,0
No,Male,2023-2024,Yes,No,No,No,Public,No,Life Sciences - LS,50.92,49.24,93,Yes,2 times,"As social beings, we  humans crave interaction with others in our network of friends and family. Seeking an opportunity to escape the cacophonous city, my companions and I resolved to seek a spot where we could lounge and engage in meaningful conversations. A spot that offered natural scenery such as trees, and an accompanying view of the ocean, with a suitable spot where we could hook up our hammocks and immerse ourselves in the soothing tranquility of the surroundings.

After several moments of contemplation and scrutiny, we finally hit the jackpot - the perfect location. A site that boasted an ocean view, and an ample array of trees, and its proximity made it all the more alluring. However, our bubble of excitement soon burst as we encountered an eyesore; the location was covered in filth and litter was strewn everywhere. It was apparent that the area had been overlooked for a considerable length of time, and as a result, was in dire need of a thorough cleanup.
Undaunted, we resolved to tackle the cleaning task head-on, employing eco-friendly practices and cautiously disposing of the waste. Despite the apparent uphill task, we worked cohesively as a team, utilizing the synergistic energy of our bursty approaches, to transform the once ugly and sordid location into a beautiful and serene spot.

Our altruistic actions proved so fulfilling that we resolved to make it a routine activity, scheduling our future visits to include cleaning the spot, the surrounding beach areas, and nearby open spaces. The tradition was so thrilling and fulfilling that we eagerly anticipated our future cleanups, finding great joy and satisfaction in our ability to return the area to its former pristine state.
 
Our initial goal of seeking a spot to relax and interact with each other led us to discover a hidden treasure, which we went ahead to revive and maintain through a regular practice of collective cleaning. The experience is a testament to the adage that small actions have significant impacts on the world and highlights the importance of preserving the natural environment for the benefit of ourselves and the generations to come.",1,"American University of Beirut (AUB), Lebanese American University (LAU), Rafik Hariri University (RHU)",Yes,Married,Yes,No,Yes,No,No,0,Yes,Done,Done,5,Eligible,Considered,Income Higher,0,TRUE,0,Avg,social being human crave interaction others network friend family seeking opportunity escape cacophonous city companion resolved seek spot could lounge engage meaningful conversation spot offered natural scenery tree accompanying view ocean suitable spot could hook hammock immerse soothing tranquility surroundings several moment contemplation scrutiny finally hit jackpot perfect location site boasted ocean view ample array tree proximity made alluring however bubble excitement soon burst encountered eyesore location covered filth litter strewn everywhere apparent area overlooked considerable length time result dire need thorough cleanup undaunted resolved tackle cleaning task headon employing ecofriendly practice cautiously disposing waste despite apparent uphill task worked cohesively team utilizing synergistic energy bursty approach transform ugly sordid location beautiful serene spot altruistic action proved fulfilling resolved make routine activity scheduling future visit include cleaning spot surrounding beach area nearby open space tradition thrilling fulfilling eagerly anticipated future cleanup finding great joy satisfaction ability return area former pristine state initial goal seeking spot relax interact led u discover hidden treasure went ahead revive maintain regular practice collective cleaning experience testament adage small action significant impact world highlight importance preserving natural environment benefit generation come,0.212728576,Nothing,2,4,1,5,5,0,0,2,3
No,Female,2021-2022,Yes,No,Yes,No,Public,No,Life Sciences - LS,51.51,40.15,51.25,No,Not provided,"I participated in:the active Citizens Training 2018-2019 and got a certificate.
                             EFC NBHS, EFC Saida(as a volunteer)
                             a  volunteered in taking care of a cancer patient.
Friends always come to me for motivational speeches I also love teaching people about meditation and self care on both facets mentally and physically.
                             ",1,American University of Beirut (AUB),No,Married,Yes,No,No,No,No,0,Yes,No,No,6,Eligible,Considered,Income Higher,0,TRUE,0,Low,participated inthe active citizen training 20182019 got certificate efc nbhs efc saidaas volunteer volunteered taking care cancer patient friend always come motivational speech also love teaching people meditation self care facet mentally physically,0.10719697,Nothing,0,1,0,0,0,0,0,2,0
No,Female,2021-2022,Yes,No,Yes,No,Public,No,Sociology and Economy - SE,56,0.428,27.8,No,Not provided,I'm a muaythai fighter ,0,"American University of Beirut (AUB), Lebanese American University (LAU), Rafik Hariri University (RHU)",No,Married,Yes,No,No,No,No,0,No,No,No,7,Eligible,Considered,Expenses Higher,0,TRUE,0,Low,im muaythai fighter,0.375,Nothing,0,0,0,0,0,0,0,0,0
No,Female,2023-2024,No,No,Yes,No,UNRWA,No,Sociology and Economy - SE,66.8,0.5,0.6,No,Not provided,Basketball ,1,Not Listed,No,Married,Yes,No,Yes,No,No,0,No,Done,Done,8,Eligible,Considered,Income Higher,0,TRUE,0,Low,basketball,0.5,Nothing,0,0,0,0,0,0,0,0,0
No,Female,2023-2024,No,No,No,No,Public,No,Life Sciences - LS,60,0.75,0.75,No,Not provided,"I have partnered with the volunteer organization Light... Unloading scientific texts with soundbites to support the continuity of blind people's education. Last Ramadan, she participated with SUA in the ""Sawa Kitchen"" campaign to prepare and distribute meals for refugees and needy people. She recently partnered with Voice of the Bekaa with a workshop to support young people's talents in writing and photography.
And finally, in the summer in leisure, I was gathering some kids who were lacking education, and I was trying to develop them, even a little bit.
And I think we'll soon be doing a campaign to distribute clothes that we don't consume to those in need for winter.",1,"American University of Beirut (AUB), Lebanese American University (LAU)",Yes,Married,Yes,No,Yes,No,No,0,No,Done,Done,9,Eligible,Considered,Income Higher,0,TRUE,0,Low,partnered volunteer organization light unloading scientific text soundbites support continuity blind people education last ramadan participated sua sawa kitchen campaign prepare distribute meal refugee needy people recently partnered voice bekaa workshop support young people talent writing photography finally summer leisure gathering kid lacking education trying develop even little bit think well soon campaign distribute clothes dont consume need winter,0.174440837,Nothing,0,0,0,1,0,0,0,1,0
No,Male,2022-2023,Yes,No,Yes,No,UNRWA,No,Life Sciences - LS,67.29,40,78.75,No,Not provided,The first step to changing the world is to make your bed/ULYP/Helping my mother with the house.,1,Rafik Hariri University (RHU),No,Married,Yes,No,Yes,Yes,No,0,Yes,No,No,10,Eligible,Considered,Income Higher,0,TRUE,0,Low,first step changing world make bedulyphelping mother house,0.179310345,Nothing,0,0,0,1,0,0,0,0,0
